,Name,Full Ticker,Ticker,P/E Ratio,sector,industry,ticker
2576,Sheng Yuan Holdings Limited,SEHK:851,851,-2.1813,Financial Services,Capital Markets,851
2577,Top Standard Corporation,SEHK:8510,8510,-1.6392,Consumer Cyclical,Restaurants,8510
2578,Zhicheng Technology Group Ltd.,SEHK:8511,8511,-26.4463,Technology,Scientific & Technical Instruments,8511
2579,Hyfusin Group Holdings Limited,SEHK:8512,8512,2.4254,Consumer Defensive,Household & Personal Products,8512
2580,IAG Holdings Limited,SEHK:8513,8513,43.6324,,,8513
2581,Grand Talents Group Holdings Limited,SEHK:8516,8516,-6.6902,Industrials,Engineering & Construction,8516
2582,Jia Group Holdings Limited,SEHK:8519,8519,-5.1514,Consumer Cyclical,Restaurants,8519
2583,Strong Petrochemical Holdings Limited,SEHK:852,852,-36.7754,Energy,Oil & Gas Refining & Marketing,852
2584,Sheung Moon Holdings Limited,SEHK:8523,8523,9.8082,Industrials,Engineering & Construction,8523
2585,Baiying Holdings Group Limited,SEHK:8525,8525,8.3838,Financial Services,Credit Services,8525
2586,Wing Fung Group Asia Limited,SEHK:8526,8526,15.3811,Industrials,Building Products & Equipment,8526
2587,JLogo Holdings Limited,SEHK:8527,8527,-6.0826,Consumer Cyclical,Restaurants,8527
2588,Polyfair Holdings Limited,SEHK:8532,8532,11.9211,Industrials,Engineering & Construction,8532
2589,Vistar Holdings Limited,SEHK:8535,8535,12.2146,Industrials,Security & Protection Services,8535
2590,TL Natural Gas Holdings Limited,SEHK:8536,8536,-5.7838,Consumer Cyclical,Specialty Retail,8536
2591,Chong Fai Jewellery Group Holdings Company Limited,SEHK:8537,8537,-11.1748,Consumer Cyclical,Luxury Goods,8537
2592,Willas-Array Electronics (Holdings) Limited,SEHK:854,854,5.4576,Technology,Electronics & Computer Distribution,854
2593,Amuse Group Holding Limited,SEHK:8545,8545,7.2687,Consumer Cyclical,Leisure,8545
2594,Pacific Legend Group Limited,SEHK:8547,8547,-10.2208,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8547
2595,Extrawell Pharmaceutical Holdings Limited,SEHK:858,858,2.9241,Healthcare,Drug Manufacturers—Specialty & Generic,858
2596,Media Asia Group Holdings Limited,SEHK:8581,8581,-24.4208,,Type,8581
2597,China Information Technology Development Limited,SEHK:8582,8582,-2.4707,,,8582
2598,Directel Holdings Limited,SEHK:8586,8586,-0.4518,,Type,8586
2599,IR Resources Limited,SEHK:8588,8588,-0.7011,,,8588
2600,Zhongchang International Holdings Group Limited,SEHK:859,859,-1.4165,Real Estate,Real Estate Services,859
2601,Apollo Future Mobility Group Limited,SEHK:860,860,-12.2571,Consumer Cyclical,Auto Manufacturers,860
2602,Boltek Holdings Limited,SEHK:8601,8601,13.4012,Industrials,Engineering & Construction,8601
2603,Fameglow Holdings Limited,SEHK:8603,8603,-1.8922,Consumer Defensive,Household & Personal Products,8603
2604,Kinetix Systems Holdings Limited,SEHK:8606,8606,460.6684,Technology,Information Technology Services,8606
2605,Narnia (Hong Kong) Group Company Limited,SEHK:8607,8607,-16.2772,Consumer Cyclical,Textile Manufacturing,8607
2606,Eggriculture Foods Ltd.,SEHK:8609,8609,5.7617,Consumer Defensive,Packaged Foods,8609
2607,Mindtell Technology Limited,SEHK:8611,8611,-3.5901,Technology,Information Technology Services,8611
2608,World Super Holdings Limited,SEHK:8612,8612,-12.7022,Industrials,Rental & Leasing Services,8612
2609,Oriental Payment Group Holdings Limited,SEHK:8613,8613,-3.9389,Technology,Software—Infrastructure,8613
2610,Best Linking Group Holdings Limited,SEHK:8617,8617,25.1751,Industrials,Specialty Industrial Machinery,8617
2611,WAC Holdings Limited,SEHK:8619,8619,120.5154,Industrials,Engineering & Construction,8619
2612,Vision Values Holdings Limited,SEHK:862,862,-8.4679,Industrials,Conglomerates,862
2613,Asia-express Logistics Holdings Limited,SEHK:8620,8620,-8.7895,Industrials,Airports & Air Services,8620
2614,Metropolis Capital Holdings Limited,SEHK:8621,8621,-1.4229,Financial Services,Credit Services,8621
2615,Huakang Biomedical Holdings Company Limited,SEHK:8622,8622,-4.0234,Healthcare,Drug Manufacturers—Specialty & Generic,8622
2616,China Saftower International Holding Group Limited,SEHK:8623,8623,3.7456,Industrials,Electrical Equipment & Parts,8623
2617,Orange Tour Cultural Holding Limited,SEHK:8627,8627,-35.7695,Communication Services,Advertising Agencies,8627
2618,BC Technology Group Limited,SEHK:863,863,-25.4293,Communication Services,Advertising Agencies,863
2619,Sun Kong Holdings Limited,SEHK:8631,8631,-6.8991,Energy,Oil & Gas Refining & Marketing,8631
2620,Novacon Technology Group Limited,SEHK:8635,8635,3.3548,Technology,Software—Application,8635
2621,Wing Lee Property Investments Limited,SEHK:864,864,-1.6488,Real Estate,Real Estate Services,864
